timestamp,open,high,low,close,volume
8/27/2024,2680.75,2691.02,2679.43,2688.35,695.9024158
8/26/2024,2747.06,2763.51,2667.25,2680.77,60514.38739
8/25/2024,2768.95,2793.09,2734.52,2747.57,28841.52308
8/24/2024,2764.89,2820.86,2732.75,2769,52952.63244
8/23/2024,2623.26,2800.89,2621.38,2764.73,97692.03219
8/22/2024,2631.18,2645.42,2584.59,2623.3,45949.34306
8/21/2024,2572.69,2664.7,2536.49,2631.14,68713.01544
8/20/2024,2637.63,2697.11,2555.26,2573.04,83115.06805
8/19/2024,2612.33,2648.71,2563.98,2637.15,54465.58023
8/18/2024,2614.64,2687.92,2594.34,2612.68,43718.56502
8/17/2024,2593.75,2627.67,2588.17,2614.64,16028.49991
8/16/2024,2570.22,2631.06,2551.29,2593.75,73034.64702
8/15/2024,2661.98,2675.79,2516.07,2570.5,112161.4424
8/14/2024,2703.49,2782.61,2633.76,2661.67,127821.694
8/13/2024,2723.23,2739,2611.59,2703.49,87846.22009
8/12/2024,2555.09,2750,2509.58,2723,117387.8317
8/11/2024,2610.38,2720,2539.86,2555.58,54293.38934
8/10/2024,2600.1,2645.74,2577.61,2610.69,32933.24489
8/9/2024,2683.33,2708.87,2553.08,2599.94,119799.4378
8/8/2024,2342.82,2725.35,2321.07,2683.59,223682.4212
8/7/2024,2462.26,2552.77,2308.94,2343.66,212737.2698
8/6/2024,2420.79,2556.62,2415.69,2462.52,240973.2188
8/5/2024,2688.38,2696.41,2116.02,2420.37,750156.044
8/4/2024,2901.98,2933.13,2626.17,2688.31,110939.31
8/3/2024,2985.88,3016.19,2857.35,2901.72,77878.90239
8/2/2024,3200.53,3215.75,2964.01,2985.84,124022.2088
8/1/2024,3231.81,3242.14,3077.17,3200.54,115192.5549
7/31/2024,3278.42,3348,3213,3231.81,87723.99197
7/30/2024,3317.42,3365.68,3232.55,3278.27,86408.39509
7/29/2024,3270.15,3396.61,3256.68,3317.55,111549.62
7/28/2024,3249.24,3283.98,3198.23,3269.98,30497.48961
7/27/2024,3274.84,3327.6,3190.57,3249.25,55872.33546
7/26/2024,3174.3,3286.65,3169.59,3274.95,88789.00061
7/25/2024,3335,3342.07,3086.13,3174.3,201536.4458
7/24/2024,3482.89,3488.05,3299.16,3334.99,108661.7098
7/23/2024,3441.09,3541.2,3390,3482.9,134627.1558
7/22/2024,3536.21,3563.02,3423.94,3441.1,55522.37465
7/21/2024,3518.99,3547.57,3413.01,3536.2,41195.37902
7/20/2024,3505.83,3540.79,3482.03,3519.06,29367.47696
7/19/2024,3425.58,3541.85,3375.99,3505.75,82780.35097
7/18/2024,3387.1,3490,3367.65,3425.58,62188.79113
7/17/2024,3446.67,3518.38,3376.92,3387.45,69258.00394
7/16/2024,3485.35,3499.99,3348,3446.67,90433.49001
7/15/2024,3246.38,3496.03,3233.86,3485.87,110069.7492
7/14/2024,3176.61,3270.12,3164.66,3246.38,38866.26159
7/13/2024,3134.84,3203.05,3114.15,3176.71,26046.02798
7/12/2024,3099.35,3158.3,3045.8,3135.05,49238.51061
7/11/2024,3100.35,3220.48,3055,3099.29,77797.90457
7/10/2024,3066.35,3150.72,3023.8,3100.3,67608.0888
7/9/2024,3018.47,3113.5,3003.55,3066.51,59915.93942
7/8/2024,2930.78,3095.94,2822.64,3018.48,142216.0798
7/7/2024,3067.38,3073.49,2921.13,2930.78,43012.58339
7/6/2024,2981.74,3082.05,2955.67,3067.39,53153.51903
7/5/2024,3059.08,3108.7,2809.41,2981.74,246354.9876
7/4/2024,3291.88,3309.58,3050,3058.89,128764.4279
7/3/2024,3416.17,3427.04,3248,3291.73,87308.24051
7/2/2024,3438.59,3460.56,3396.76,3416.17,43494.06793
7/1/2024,3432.37,3518.85,3420.5,3438.59,61636.24032
6/30/2024,3373.34,3453.93,3347.21,3432.37,33619.80015
6/29/2024,3373.75,3403.09,3366.21,3373.26,24185.37816
6/28/2024,3445.57,3484.72,3360.01,3373.62,102502.6512
6/27/2024,3369.76,3474.12,3359.23,3445.58,76984.4938
6/26/2024,3393.59,3425.44,3323,3369.31,82891.50855
6/25/2024,3350.6,3430.6,3334.79,3393.6,105747.8241
6/24/2024,3418.42,3432.5,3233.75,3350.59,171526.1389
6/23/2024,3494.09,3519.79,3405.07,3418.42,43942.9881
6/22/2024,3517.18,3520.03,3473.78,3494.09,30077.22258
6/21/2024,3510.73,3545.99,3444.7,3517.19,103321.3728
6/20/2024,3559.24,3624.28,3483.5,3510.73,108383.6657
6/19/2024,3482.07,3585.77,3464.44,3559.14,103693.896
6/18/2024,3509.81,3515.87,3351,3482.06,129044.7083
6/17/2024,3622.53,3640,3463.38,3509.55,111781.8862
6/16/2024,3566.82,3651.51,3538.74,3622.1,44147.59671
6/15/2024,3479.53,3591.87,3470.96,3566.69,56700.50674
6/14/2024,3467.9,3529.83,3360.62,3479.53,102617.1213
6/13/2024,3559.14,3560.6,3425.87,3467.65,108846.1756
6/12/2024,3497.27,3657.05,3461.52,3559.14,98483.84287
6/11/2024,3665.86,3671.47,3381,3497.31,137575.1636
6/10/2024,3706.4,3712.6,3643.02,3665.86,43724.8617
6/9/2024,3680.89,3721.16,3666.2,3706.27,19656.41006
6/8/2024,3676.31,3707.99,3658,3680.84,28751.32754
6/7/2024,3812.04,3839.71,3575.23,3676.35,110370.1149
6/6/2024,3866.42,3879.15,3758.19,3812.09,53756.61177
6/5/2024,3810.24,3888.9,3777.25,3866.57,67943.79282
6/4/2024,3766.12,3832.56,3730.56,3810.29,57771.03646
6/3/2024,3778.88,3850.06,3757.32,3766.09,66419.59244
6/2/2024,3812.49,3835,3750.59,3778.88,44725.20926
6/1/2024,3758.44,3829.99,3748.31,3812.48,33739.8975
5/31/2024,3746.64,3846,3720.52,3758.44,83743.9066
5/30/2024,3762.07,3824.07,3700.4,3746.74,96742.86206
5/29/2024,3840.18,3884.24,3740.75,3762.11,108846.3294
5/28/2024,3890.72,3926.6,3769.47,3839.98,100613.0472
5/27/2024,3823.55,3973.9,3821.01,3890.72,71151.4462
